Respondent,Age (Years),Areas Covered,Company,Employment Status,"If Direct Employee, what benefits do you receiv...",Social Insurance Contributions,Paid Leave,Meal Allowance,Fuel Allowance,Specify the benefits in numbers? (Days),Meal Allowance (EGP/month),Fuel Allowance (EGP/month),Vehicle type:,Do you have any vehicle financing?,"If you have vehicle financing, what is your mon...",Approximate monthly cost of fuel: ______ EGP,Approximate monthly maintenance cost: ______ EGP,"Any other work-related expenses? (e.g., license...",Please estimate your monthly average expenses f...,Engine oil and servicing: ______ EGP/month,Brake pad replacement/repair: ______ EGP/month,Any other recurring mechanical or safety check ...,Please mention your Fixed Monthly Pay (if any):...,Variable Pay (Monthly bonuses): ______ EGP,Average number of deliveries per day: ______,Average working hours per day: ______,Average working days per week: ______,Varaiable Per Stops/Order (As applicable),What is your payment frequency?,Do you receive extra pay for deliveries in diff...,If YES for previous question - receiving extra ...,Do you receive performance-based incentives?,"If yes for previous question, how much do you e...",What is your total gross monthly income (before...,How long have you been working with your curren...,How many years of experience do you have in del...,Average commute time to starting point (one way...,Approximate delivery success rate (orders deliv...,Do you receive any support or incentives during...,"If yes for previous question, what support do y...",Route Prioritization,Additional Breaks/Rest Support,Did you receive any incentive during White Frid...,How many days did you work during white Friday/...,How much extra did you earn during white Friday...,Was the incentive paid per package delivered du...,Please specify other incentive paid per package...,Did you receive any incentive during Eid/Ramada...,How much incentive did you receive during Eid/R...,"During Eid/Ramadan peak period, was incentives ...",Please mention other incentives to criteria dur...,Did you work during public holidays (Eid or nat...,How was your overtime paid during public holida...,For overtime paid give flat bonus per shift dur...,Please mention other overtime paid during publi...,Please mention number of public holiday shifts ...,Please fill in the following based on your mont...,Fuel Expenses (EGP),Maintenance Costs (EGP),Financing/Lease (EGP),"Other Expenses (licenses, permits, fines, etc.)...",Net Income (Gross - All Expenses) (EGP)
Respondent 1,32,East Urban Cairo,Noon,Direct Employee,Yes,Yes,Yes,No,No,1.75,0,0,Van,No,0.0,0,0,300,0,0,0.0,0.0,7000,7020,45,13,6,6.5,Monthly,No,0.0,Yes,400,14420,4,4,15,88,Yes,Yes,Yes,Yes,Yes,7.0,1000,"No, it was a flat bonus",0.0,Yes,1200,Number of days worked,,No,,0,0.0,0.0,16620,0,0,0,300,16320
Respondent 2,28,Central / Old Cairo,Noon,Independent Contractor / Freelancer,No,No,No,No,No,0.0,0,0,Sedan ,No,0.0,3120,500,200,0,965,0.0,0.0,0,21120,44,11,6,20.0,Daily/Weekly,No,0.0,Yes,350,21470,1,2,15,84,Yes,Yes,Yes,Yes,Yes,7.0,1000,"No, it was a flat bonus",0.0,Yes,1000,Number of days worked,,No,,0,0.0,0.0,23470,3120,1465,0,200,18685
Respondent 3,28,Mansoura,Aramex,Direct Employee,Yes,Yes,Yes,No,No,1.0,0,0,Van,No,0.0,0,0,550,0,0,0.0,0.0,7000,5040,42,12,6,5.0,Monthly,No,0.0,Yes,400,12440,3,5,12,95,Yes,Yes,Yes,Yes,Yes,8.0,500,"No, it was a flat bonus",0.0,Yes,1150,Number of days worked,,Yes,1.5x regular rate,0,0.0,4.0,14090,0,0,0,550,13540
Respondent 4,33,New Towns & Extensions,Aramex,Direct Employee,Yes,Yes,Yes,No,No,1.0,0,0,Van,No,0.0,0,0,470,0,0,0.0,0.0,7000,6600,55,12,6,5.0,Monthly,No,,Yes,325,13925,2,3,14,89,Yes,Yes,Yes,Yes,Yes,8.0,500,"No, it was a flat bonus",,Yes,1000,Number of days worked,,Yes,1.5x regular rate,0,0.0,3.0,15425,0,0,0,470,14955
Respondent 5,30,Central / Old Cairo,Aramex,Direct Employee,Yes,Yes,Yes,No,No,1.0,0,0,Van,No,0.0,0,0,500,0,0,0.0,0.0,7000,4800,40,12,6,5.0,Monthly,No,,Yes,350,12150,2,3.5,16,92,Yes,Yes,Yes,Yes,Yes,8.0,500,"No, it was a flat bonus",,Yes,1050,Number of days worked,,Yes,1.5x regular rate,0,0.0,4.0,13700,0,0,0,500,13200
Respondent 6,27,West / Suburban Cairo,Aramex,Direct Employee,Yes,Yes,Yes,No,No,1.0,0,0,Van,No,0.0,0,0,490,0,0,0.0,0.0,7000,5400,45,12,6,5.0,Monthly,No,,Yes,300,12700,2,2,12,90,Yes,Yes,Yes,Yes,Yes,8.0,500,"No, it was a flat bonus",,Yes,950,Number of days worked,,Yes,1.5x regular rate,0,0.0,4.0,14150,0,0,0,490,13660
Respondent 7,31,Hurghada,Aramex,Direct Employee,Yes,Yes,Yes,No,No,1.0,0,0,Van,No,0.0,0,0,510,0,0,0.0,0.0,7000,5400,45,12,6,5.0,Monthly,No,,Yes,275,12675,1.5,1.5,21,89,Yes,Yes,Yes,Yes,Yes,8.0,500,"No, it was a flat bonus",,Yes,900,Number of days worked,,Yes,1.5x regular rate,0,0.0,3.0,14075,0,0,0,510,13565
Respondent 8,27,Central / Old Cairo,Jumia,Independent Contractor / Freelancer,No,No,No,No,No,0.0,0,0,Van,No,,4500,600,525,0,800,0.0,0.0,0,22200,37,12,6,25.0,Weekly/Monthly,No,,Yes,200,22400,14 months,14 months ,17,90,Yes,Yes,Yes,Yes,Yes,7.0,500,"No, it was a flat bonus",,Yes,1200,Number of days worked,,Yes,1.5x regular rate,0,,,24100,4500,1400,0,525,17675
Respondent 9,35,West / Suburban Cairo,Noon,Independent Contractor / Freelancer,No,No,No,No,No,0.0,0,0,Sedan ,Yes,1000.0,3000,450,170,0,980,0.0,0.0,0,21600,45,10,6,20.0,Daily/Weekly,No,,Yes,355,21955,1,2,16,87,Yes,Yes,Yes,Yes,Yes,7.0,1000,"No, it was a flat bonus",,Yes,1050,Number of days worked,,Yes,Flat bonus per shift,500,,4.0,24005,3000,1430,1000,170,18405
Respondent 10,32,Central / Old Cairo,PDC,Direct Employee,Yes,Yes,Yes,No,No,1.0,0,0,Van,No,0.0,0,0,500,0,0,0.0,0.0,7000,5040,42,12,6,5.0,Monthly,No,0.0,Yes,400,12440,5 Years,6 Years,15,95,Yes,Yes,Yes,Yes,Yes,6.0,800,"No, it was a flat bonus",0.0,Yes,1000,Number of days worked,,Yes,Flat bonus per shift,0,0.0,4.0,14240,0,0,0,500,13740
